image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim04,dense,gauss_seidel,0.0,1.4339202278999402e-16,1.4339202278999402e-16,1.4339202278999402e-16
kodak_kodim04,dense,gauss_seidel,0.01,1.9971320483869018e-07,2.0394858179873784e-07,1.98740140590893e-07
kodak_kodim04,dense,gauss_seidel,0.03,1.7732061890435956e-06,1.774763455858912e-06,1.7747591336838544e-06
kodak_kodim04,dense,gauss_seidel,0.07,9.65931007379899e-06,9.827114636473622e-06,9.615093917233083e-06
kodak_kodim04,dense,gauss_seidel,0.12,2.859770131564344e-05,2.9099715190763132e-05,2.8458319044312824e-05
kodak_kodim04,dense,gaussian,0.0,4.2639221217179364e-32,4.2639221217179364e-32,4.2639221217179364e-32
kodak_kodim04,dense,gaussian,0.01,1.9971312188682383e-07,2.0394861383642796e-07,1.9874002069243997e-07
kodak_kodim04,dense,gaussian,0.03,1.773206099653872e-06,1.7747628470411215e-06,1.7747590787645552e-06
kodak_kodim04,dense,gaussian,0.07,9.659310324166004e-06,9.827114261978725e-06,9.615095095802972e-06
kodak_kodim04,dense,gaussian,0.12,2.8597700902209845e-05,2.9099713862432136e-05,2.845831970430744e-05
kodak_kodim04,dense,gmres,0.0,4.643648872741515e-18,4.643648872741515e-18,4.643648872741515e-18
kodak_kodim04,dense,gmres,0.01,1.9971313436992729e-07,2.039486164622834e-07,1.9874002850947596e-07
kodak_kodim04,dense,gmres,0.03,1.7732060989251947e-06,1.7747629168024766e-06,1.7747590679779247e-06
kodak_kodim04,dense,gmres,0.07,9.659310400291621e-06,9.827114630859391e-06,9.615094954527983e-06
kodak_kodim04,dense,gmres,0.12,2.8597700915998135e-05,2.9099713855464043e-05,2.8458319629924054e-05
kodak_kodim04,dense,lu,0.0,3.0021061032314987e-32,3.0021061032314987e-32,3.0021061032314987e-32
kodak_kodim04,dense,lu,0.01,1.9971312188682422e-07,2.0394861383642775e-07,1.9874002069243992e-07
kodak_kodim04,dense,lu,0.03,1.7732060996538718e-06,1.7747628470411209e-06,1.7747590787645581e-06
kodak_kodim04,dense,lu,0.07,9.659310324166e-06,9.827114261978715e-06,9.615095095802976e-06
kodak_kodim04,dense,lu,0.12,2.8597700902209845e-05,2.909971386243215e-05,2.8458319704307432e-05
kodak_kodim04,dense,np_solve,0.0,4.3748197066986895e-32,4.3748197066986895e-32,4.3748197066986895e-32
kodak_kodim04,dense,np_solve,0.01,1.9971312188682383e-07,2.0394861383642637e-07,1.9874002069244082e-07
kodak_kodim04,dense,np_solve,0.03,1.7732060996538684e-06,1.7747628470411175e-06,1.7747590787645524e-06
kodak_kodim04,dense,np_solve,0.07,9.659310324166004e-06,9.827114261978716e-06,9.615095095802986e-06
kodak_kodim04,dense,np_solve,0.12,2.8597700902209855e-05,2.9099713862432136e-05,2.8458319704307472e-05
